2026-01-27 15:54:55.202 I [MediaServer.exe] [36036-35012] main.cpp:271 start_main | ZLMediaKit(git hash:a050f38/2025-05-11T11:18:34+08:00,branch:,build time:2025-05-11T03:24:50)
2026-01-27 15:54:55.386 W [MediaServer.exe] [36036-35012] SSLUtil.cpp:104 loadPublicKey | BIO_new_file failed: error:80000002:system library::No such file or directory
2026-01-27 15:54:55.386 W [MediaServer.exe] [36036-35012] SSLUtil.cpp:132 loadPrivateKey | BIO_new_file failed: error:10000080:BIO routines::no such file
2026-01-27 15:54:55.386 W [MediaServer.exe] [36036-35012] SSLUtil.cpp:213 makeSSLContext | SSL_CTX_check_private_key failed: error:80000002:system library::No such file or directory
2026-01-27 15:54:55.386 D [MediaServer.exe] [36036-stamp thread] util.cpp:391 operator () | Stamp thread started
2026-01-27 15:54:55.393 I [MediaServer.exe] [36036-35012] EventPoller.cpp:616 EventPollerPool | EventPoller created size: 16
2026-01-27 15:54:55.393 I [MediaServer.exe] [36036-35012] main.cpp:396 start_main | 已启动http api 接口
2026-01-27 15:54:55.394 I [MediaServer.exe] [36036-35012] main.cpp:398 start_main | 已启动http hook 接口
2026-01-27 15:54:55.395 I [MediaServer.exe] [36036-35012] TcpServer.cpp:242 start_l | TCP server listening on [::]: 9994
2026-01-27 15:54:55.396 I [MediaServer.exe] [36036-35012] TcpServer.cpp:242 start_l | TCP server listening on [::]: 9995
2026-01-27 15:54:55.397 I [MediaServer.exe] [36036-35012] TcpServer.cpp:242 start_l | TCP server listening on [::]: 9992
2026-01-27 15:55:04.374 I [MediaServer.exe] [36036-event poller 13] Rtsp.cpp:471 getPortPair | got port from pool:33826-33827
2026-01-27 15:55:04.379 D [MediaServer.exe] [36036-event poller 13] MediaSink.cpp:196 emitAllTrackReady | All track ready use 0ms
2026-01-27 15:55:04.379 I [MediaServer.exe] [36036-event poller 13] MediaSource.cpp:505 emitEvent | 媒体注册:fmp4://__defaultVhost__/live/stream1
2026-01-27 15:55:04.379 I [MediaServer.exe] [36036-event poller 13] MultiMediaSourceMuxer.cpp:597 onAllTrackReady | stream: rtsp://127.0.0.1:9994/live/stream1 , codec info: H264[544/960/29] mpeg4-generic[8000/1/16] 
